Residence,Korea - Urban,Korea - Rural,Korea - Total,Surguja - Rural,Surguja - Total,Jashpur - Rural,Jashpur - Total,Raigarh - Rural,Raigarh - Total,Korba - Urban,Korba - Rural,Korba - Total,Janjgir - Champa - Rural,Janjgir - Champa - Total,Bilaspur - Rural,Bilaspur - Total,Kabirdham - Rural,Kabirdham - Total,Rajnandgaon - Rural,Rajnandgaon - Total,Durg - Urban,Durg - Rural,Durg - Total,Raipur - Urban,Raipur - Rural,Raipur - Total,Mahasamund - Rural,Mahasamund - Total,Dhamtari - Rural,Dhamtari - Total,Uttar Bastar Kanker - Rural,Uttar Bastar Kanker - Total,Bastar - Rural,Bastar - Total,Narayanpur - Rural,Narayanpur - Total,Dakshin Bastar Dantewada - Rural,Dakshin Bastar Dantewada - Total,Bijapur - Rural,Bijapur - Total,Note of Korea - Urban,Note of Korea - Rural,Note of Korea - Total,Note of Surguja - Rural,Note of Surguja - Total,Note of Jashpur - Rural,Note of Jashpur - Total,Note of Raigarh - Rural,Note of Raigarh - Total,Note of Korba - Urban,Note of Korba - Rural,Note of Korba - Total,Note of Janjgir - Champa - Rural,Note of Janjgir - Champa - Total,Note of Bilaspur - Rural,Note of Bilaspur - Total,Note of Kabirdham - Rural,Note of Kabirdham - Total,Note of Rajnandgaon - Rural,Note of Rajnandgaon - Total,Note of Durg - Urban,Note of Durg - Rural,Note of Durg - Total,Note of Raipur - Urban,Note of Raipur - Rural,Note of Raipur - Total,Note of Mahasamund - Rural,Note of Mahasamund - Total,Note of Dhamtari - Rural,Note of Dhamtari - Total,Note of Uttar Bastar Kanker - Rural,Note of Uttar Bastar Kanker - Total,Note of Bastar - Rural,Note of Bastar - Total,Note of Narayanpur - Rural,Note of Narayanpur - Total,Note of Dakshin Bastar Dantewada - Rural,Note of Dakshin Bastar Dantewada - Total,Note of Bijapur - Rural,Note of Bijapur - Total
Households surveyed,159,364,523,1697,1904,621,670,1086,1266,370,638,1009,1143,1324,1596,2248,550,618,926,1166,973,1468,2441,1221,1961,3182,822,917,487,635,490,557,945,1095,81.4,99.4,349,427,170,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Women age 15-49 years interviewed,192,418,611,1765,2000,650,707,1205,1417,493,793,1286,1361,1619,2114,2950,676,754,1331,1628,1299,1830,3129,1538,2492,4031,1005,1128,660,850,627,706,1194,1390,125,152,453,547,238,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Men age 15-49 years interviewed,27.1,62.4,89.5,257.8,292.6,97.1,108.7,180.5,217.3,56.9,116.8,173.8,193.9,237.1,291.5,427,84.5,97.4,151.6,190.4,184.1,273.1,457.2,210.6,336,546.6,141.7,166,91.9,111.9,82.9,98.5,156.1,188.9,17.1,21.6,54.8,70.8,27.44,32.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1. Population (female) age 6+ years who ever attended school (%),77.22,61.01,65.98,56.27,59.52,62.41,63.73,64.43,67.42,81.18,62.54,69.37,66.29,68.71,67.02,70.89,57.02,58.25,73.4,74.95,82.33,70.72,75.33,77.73,65.93,70.28,63.99,65.12,71.37,73.45,66.37,68.57,51.02,54.26,54.88,58.26,38.12,43.56,66.01,67.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2. Population below age 15 years (%),26.52,30.22,29.12,30.99,30.69,30.41,30.06,26.57,26.06,26.5,30.05,28.77,29.73,29.17,33,31.38,33.29,33.04,30.49,30.11,24.94,27.8,26.67,25.97,30.32,28.68,28.19,27.96,25.42,25.41,27.01,26.55,32.46,31.88,33.73,32.57,31.82,30.82,29.13,29.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3. Sex ratio of the total population (females per 1000 males),1034,1000,1010,1023,1024,996,995,991,985,1026,1020,1022,1036,1038,1017,1013,1037,1031,1033,1028,987,1004,997,951,1037,1004,1049,1049,1010,1017,1053,1052,1084,1082,1081,1094,1045,1021,1005,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4. Sex ratio at birth for children born in the last five years (females per 1000 males),903,977,957,1043,1052,958,961,961,934,1090,912,961,769,819,1138,1067,880,887,953,1041,733,984,880,923,1040,998,888,886,1095,1108,784,811,1097,1043,875,869,1072,1088,930,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5. Children under age 5 years whose birth was registered (%),89.59,73.47,77.42,68.31,69.86,78.15,78.35,85.51,86.97,88.15,78.79,81.6,76.8,77.67,94.45,94.88,85.26,85.4,96.63,96.85,92.46,86.55,88.77,94.05,87.1,89.56,90.34,89.96,94.79,94.46,86.73,87.36,76.77,78.16,91.95,92.03,72.12,74.77,96.62,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6. Households with electricity (%),99.05,86.98,90.65,92.21,92.87,83.04,84.14,94.3,95.11,99.3,90.75,93.89,97.85,98.15,99.2,99.31,94.89,95.16,98.64,98.92,99.61,98.7,99.06,98.82,97.47,97.98,97.73,97.97,98.12,98.17,95.25,95.82,83.83,85.93,73.51,77.6,84.06,86.75,90.56,91.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7. Households with an improved drinking-water source1 (%),88.43,68.17,74.33,70.01,72.59,82.5,83.27,91.71,92.8,91.64,73.6,80.22,94.51,95.26,88.89,91.86,92.68,93.48,91.81,92.82,99.21,97.65,98.27,97.87,93.36,95.09,96.95,96.75,95.38,95.82,97.69,97.96,93.79,94.52,90.81,92.48,94.61,93.98,93.04,93.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
