District,Type,X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,state
Srikakulam,Total,-0.5701371084181563,-0.011739752064871432,0.9085909531128998,-0.31861782343619893,0.6967974046628753,0.625897750492747,0.19515102284552704,1.7126555090005056,-0.7918232760046834,-0.831636260148171,-0.6499156720330284,-0.8980246361945251,-0.35727334335144834,0.9462016792874294,AP
Vizianagaram,Total,-0.9373795397747501,0.43622900518619306,0.9085909531128998,-0.8913110358021274,0.6698263081299327,0.9030415503480297,-0.33145374905777614,1.0710390861165502,7.266175031797427e-4,0.05912955169921011,-0.23255860978952392,-0.705175807855463,0.1289203305830842,1.4667138370266812,AP
Visakhapatnam,Total,-0.2652565993673997,1.339759210489188,0.9085909531128998,0.21872395606763423,1.0204505630581833,0.6558592423689932,0.77777757899386335,0.1888165046511116,-0.034760691161351526,-0.6190671459573185,-0.44123714091127625,-1.4765711212117114,0.01803405407169982,0.5542110419776233,AP
East Godavari,Total,0.2682842914714249,2.2964382513982415,0.5614802481836595,-0.18428237856024116,-0.0651360723927453,0.1390235075037352,-0.1970014668696987,1.1798847292843642,-0.44877929224754853,-0.8620032764611499,-0.6890428966183567,-1.11497956807597,-0.4937487605962292,0.46424597767701203,AP
West Godavari,Total,0.018836602248077833,-0.2091497128873746,0.5930357668135902,0.3389188277987551,1.2699332059878998,1.022887517853018,0.3352054834581078,0.8075180552892116,-0.9574307164391621,-0.7810245662932062,-0.767297345789014,-1.0667673609912045,-0.2378573532622647,-0.049840104040766955,AP
Krishna,Total,0.3098589063419822,-0.4217450553116087,0.9085909531128998,0.08438851119167544,1.2834187542543714,1.4573291500585972,1.018671251247502,-0.28093837638892727,-0.5079248066884339,-1.3782425537817913,0.015247145917556536,-0.6087513936859321,-0.4425704791294365,0.14294217660340017,AP
Guntur,Total,-0.5147042885907462,0.6716024200130235,0.30903609914421115,-0.17721209198782167,0.5417135995984571,0.5360132748640061,0.35201201873161814,1.4376770420502392,0.048043029055888024,-1.428854247636756,-0.34994028354550977,0.524235472806058,-0.32315448904025285,0.7855497787506235,AP
Prakasam,Total,-0.916592232339471,-0.110444732476123,0.6666653102834293,-0.3256881100086184,0.7305112753290532,0.9629645341005243,-0.2810341432372471,0.6643001037526145,0.09535944060859632,-0.8113915826061852,-0.6890428966183567,-0.9703429468216733,-0.22079792610666713,0.027272808216899615,AP
Sri Potti Sriramulu Nellore,Total,-0.44541326380648333,0.18567020875763146,-0.5324443976539481,-0.8347487432227763,-0.32136148945569726,-1.0219843027008313,-0.4322929606988345,0.17735906852818367,-0.21219723448400743,-0.6899235173542696,-0.4803643654966049,-0.8016002220249941,-0.35727334335144834,-0.3518656770499623,AP
Y.S.R.,Total,-0.29297300928110476,0.12492868235070766,0.9085909531128998,-0.17014180541540322,1.1148494009234817,0.9854356530077092,0.8281971848143928,1.2543580640833947,-0.44877929224754853,0.008517857844245256,-0.34994028354550977,-0.44000866888925266,0.1289203305830842,-0.0048575718904615706,AP
Kurnool,Total,-1.1106071017354073,-0.1408154956795849,0.4352581736639353,0.05610736490200059,0.8046817907946443,0.6858207342452405,0.620916583107773,0.6241990773223671,-1.0757217453209327,0.7980602819816974,-0.23255860978952392,-0.705175807855463,0.39334145149484767,-0.08839656016960047,AP
Anantapur,Total,-0.6671445431161244,-0.1408154956795849,0.7297763475432907,0.7277845892817926,1.1148494009234817,0.6483688693999319,0.9458429317289602,-0.1377204248523301,0.6986436879056261,0.4134114086839641,-0.7020853048134664,-0.7533880149402286,0.5468762958952261,-0.18478770049168403,AP
Chittoor,Total,-0.00887980766562674,0.2691898075671521,0.69822082891336,0.11973994405376975,0.6361124374637548,0.7906859558121039,0.13912923860049473,0.881991390088242,-0.7208486586756209,-0.48747674193441015,-0.3238554671552904,-0.7292819113978459,-0.04167394097289214,-0.5960565658659072,AP
Tawang,Total,-1.9282411941897095,-1.7398361783418599,-2.7371232992651247,-1.804792060958644,-2.6516642299019146,-2.5275492694822375,-1.8076277639143774,-1.5710456838305944,1.1812710857432505,-1.5938483696039418,-0.1582168830773997,-0.37733279967905753,-2.116953254451344,-0.8691647967784772,AR
West Kameng,Total,-0.41977558463630577,-1.6069640893267136,-2.492042104572661,-2.018314715445694,-2.3327310133998718,-2.4503984279009017,-1.6109913012143142,-0.8245937204218503,1.8425179371923481,-0.9004681637909232,-1.7402609971441831,-0.7895471702538028,-1.8184132792283856,-1.1024313563579196,AR
East Kameng,Total,-1.258196984525887,-1.7451510619024657,-5.7001864986156425,-3.204001773640337,-4.0973150040676245,-4.727471810495664,-2.677646073239729,-2.2785423644213845,-0.16606373322011683,0.5834667000366459,-0.7164319538280868,-0.20617946452813996,-1.0550039140153915,-0.8588830751441219,AR
Papum Pare,Total,0.5385192881300497,-1.658594386772599,-1.1845917826725219,-1.1387710658367876,-1.262652758455385,-1.769523525013191,-1.281583209853524,-0.4768605340909923,0.35559970414849157,-1.1089883424733782,-1.4428940902956864,-1.1607811648064974,-1.8184132792283856,-0.15329992798646994,AR
Upper Subansiri,Total,-0.7967187594626963,-1.6342977762098292,-3.253581954174995,-2.422735107388053,-3.1749035026409964,-2.8938285076693555,-2.3594423387279457,-0.3393713006158587,2.5416179178836122,-0.8022814777122915,-1.0816193832911531,-0.6111620040401703,-1.7621171696149134,-0.38849431037235405,AR
West Siang,Total,0.5454483906084765,-1.3154047625734782,-1.7809910847782158,-1.9348853338911514,-2.3030628072136357,-0.7336049433919555,-1.3135156268731925,-0.8045432072067266,0.8713485900730114,-0.1493906269832446,-0.17778049537006424,-0.37733279967905753,-0.9927370048974601,-1.4963498164741675,AR
East Siang,Total,0.9494150651007291,-1.3366642968159017,-0.8195996171863204,-1.0270605379925692,-1.4190851183464508,-0.1313789566793928,-0.6266885520290966,0.13267506764876527,0.059872131944065043,-1.5371632724863808,-0.32776818961382337,1.3293793311216422,-1.368044402320608,-0.5465757805005712,AR
Changlang,Total,-0.2721857018458261,0.09683572638750523,0.2595991199573194,0.46618398610229445,0.37584135592086126,0.23939450528916142,0.5929056909852569,-1.9560155375609676,-0.37780467491848624,-1.2891659725970532,-0.5938333167940573,-0.31947815117733885,-1.0933876251154862,0.48866506655860625,AR
Tirap,Total,0.2364104200706634,-0.5174129594025139,-2.9885155976835747,-0.8941391504310949,-0.9942903479526087,-1.3156069230880512,-0.540975222134197,-2.1777169265396203,-0.46888876715744954,0.3496406744267088,0.5982427922389518,0.8858270259417994,0.18095158340765694,-0.06847572450303639,AR
Lower Subansiri,Total,-0.18487901061765497,-1.6844095354955415,-2.3700274325369284,-0.9181781247773187,-1.4885356919187769,-2.065393257291129,-1.4289205024179592,-0.9151074657929795,1.167076162277438,-0.11497467516186886,0.43129996734155,1.3944658106860757,-0.9483824942929063,-0.6680286173063965,AR
Kurung Kumey,Total,-1.6157386724126839,-1.6342977762098292,-4.437965753418404,-2.9657331161498215,-3.340775746318591,-3.923754790915342,-2.705096747519795,-2.116992515088103,-0.39554832925075173,0.27473536752136063,0.34130735079529423,1.476426562730177,-0.5781929250164377,-0.7316467699189713,AR
Dibang Valley,Total,0.09782837050213758,-0.8727508888830193,-0.7354515675065032,-1.2052317596175248,-0.32540715393563874,-0.7620683606743897,-0.4530210208694963,-2.071735642402538,-0.10218657762396059,0.2585396254877722,-1.663310788793037,-0.7365137424605606,-1.534373817087685,-1.5387619182158845,AR
