District,Type,Households.surveyed,Women.age.15.49.years.interviewed,Men.age.15.49.years.interviewed,X1..Population..female..age.6..years.who.ever.attended.school....,X2..Population.below.age.15.years....,X3..Sex.ratio.of.the.total.population..females.per.1000.males.,X4..Sex.ratio.at.birth.for.children.born.in.the.last.five.years..females.per.1000.males.,X5..Children.under.age.5.years.whose.birth.was.registered....,X6..Households.with.electricity....,X7..Households.with.an.improved.drinking.water.source1....,X8..Households.using.improved.sanitation.facility2....,X9..Households.using.clean.fuel.for.cooking3....,X10..Households.using.iodized.salt....,X11..Households.with.any.usual.member.covered.by.a.health.scheme.or.health.insurance....,X12..Women.who.are.literate....,X13..Men.who.are.literate....,X14..Women.with.10.or.more.years.of.schooling....,X15..Women.age.20.24.years.married.before.age.18.years....,X16..Men.age.25.29.years.married.before.age.21.years....,X17..Women.age.15.19.years.who.were.already.mothers.or.pregnant.at.the.time.of.the.survey....,X18..Any.method....,X19..Any.modern.method....,X20..Female.sterilization....,X21..Male.sterilization....,X22..IUD.PPIUD....,X23..Pill....,X24..Condom....,X25..Total.unmet.need....,X26..Unmet.need.for.spacing....,X27..Health.worker.ever.talked.to.female.non.users.about.family.planning5....,X28..Current.users.ever.told.about.side.effects.of.current.method....,X29..Mothers.who.had.antenatal.check.up.in.the.first.trimester....,X30..Mothers.who.had.at.least.4.antenatal.care.visits....,X31..Mothers.whose.last.birth.was.protected.against.neonatal.tetanus6....,X32..Mothers.who.consumed.iron.folic.acid.for.100.days.or.more.when.they.were.pregnant....,X33..Mothers.who.had.full.antenatal.care7....,X34..Registered.pregnancies.for.which.the.mother.received.Mother.and.Child.Protection..MCP..card....,X35..Mothers.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X36..Mothers.who.received.financial.assistance.under.Janani.Suraksha.Yojana..JSY..for.births.delivered.in.an.institution....,X37..Average.out.of.pocket.expenditure.per.delivery.in.public.health.facility..Rs..,X38..Children.born.at.home.who.were.taken.to.a.health.facility.for.check.up.within.24.hours.of.birth....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X40..Institutional.births....,X41..Institutional.births.in.public.facility....,X42..Home.delivery.conducted.by.skilled.health.personnel..out.of.total.deliveries.....,X43..Births.assisted.by.a.doctor.nurse.LHV.ANM.other.health.personnel....,X44..Births.delivered.by.caesarean.section....,X45..Births.in.a.private.health.facility.delivered.by.caesarean.section....,X46..Births.in.a.public.health.facility.delivered.by.caesarean.section....,X47..Children.age.12.23.months.fully.immunized..BCG.measles.and.3.doses.each.of.polio.DPT.....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X54..Children.age.12.23.months.who.received.most.of.the.vaccinations.in.public.health.facility....,X55..Children.age.12.23.months.who.received.most.of.the.vaccinations.in.private.health.facility....,X56..Prevalence.of.diarrhoea..reported..in.the.last.2.weeks.preceding.the.survey....,X57..Children.with.diarrhoea.in.the.last.2.weeks.who.received.oral.rehydration.salts..ORS.....,X58..Children.with.diarrhoea.in.the.last.2.weeks.who.received.zinc....,X59..Children.with.diarrhoea.in.the.last.2.weeks.taken.to.a.health.facility....,X60..Prevalence.of.symptoms.of.acute.respiratory.infection..ARI..in.the.last.2.weeks.preceding.the.survey....,X61..Children.with.fever.or.symptoms.of.ARI.in.the.last.2.weeks.preceding.the.survey.taken.to.a.health.facility....,X62..Children.under.age.3.years.breastfed.within.one.hour.of.birth8....,X63..Children.under.age.6.months.exclusively.breastfed9....,X64..Children.age.6.8.months.receiving.solid.or.semi.solid.food.and.breastmilk9....,X65..Breastfeeding.children.age.6.23.months.receiving.an.adequate.diet9.10....,X66..Non.breastfeeding.children.age.6.23.months.receiving.an.adequate.diet9.10....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X72..Women.whose.Body.Mass.Index..BMI..is.below.normal..BMI..18.5.kg.m2.....,X73..Men.whose.Body.Mass.Index..BMI..is.below.normal..BMI..18.5.kg.m2.....,X74..Women.who.are.overweight.or.obese..BMI...25.0.kg.m2.....,X75..Men.who.are.overweight.or.obese..BMI...25.0.kg.m2.....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,X77..Non.pregnant.women.age.15.49.years.who.are.anaemic...12.0.g.dl.....,X78..Pregnant.women.age.15.49.years.who.are.anaemic...11.0.g.dl.....,X79..All.women.age.15.49.years.who.are.anaemic....,X80..Men.age.15.49.years.who.are.anaemic...13.0.g.dl.....,X81..Blood.sugar.level...high...140.mg.dl.....,X82..Blood.sugar.level...very.high...160.mg.dl.....,X83..Blood.sugar.level...high...140.mg.dl.....,X84..Blood.sugar.level...very.high...160.mg.dl.....,X85..Slightly.above.normal..Systolic.140.159.mm.of.Hg.and.or.Diastolic.90.99.mm.of.Hg.....,X86..Moderately.high..Systolic.160.179.mm.of.Hg.and.or.Diastolic.100.109.mm.of.Hg.....,X87..Very.high..Systolic..180.mm.of.Hg.and.or.Diastolic..110.mm.of.Hg.....,X88..Slightly.above.normal..Systolic.140.159.mm.of.Hg.and.or.Diastolic.90.99.mm.of.Hg.....,X89..Moderately.high..Systolic.160.179.mm.of.Hg.and.or.Diastolic.100.109.mm.of.Hg.....,X90..Very.high..Systolic..180.mm.of.Hg.and.or.Diastolic..110.mm.of.Hg.....,X91..Cervix....,X92..Breast....,X93..Oral.cavity....,state
Srikakulam , Rural,660,673,85,54.3,22.2,1026,865,89.2,96.8,74.7,26.6,31.6,77.3,86,55.7,76.2,31.2,25.1,NA,14,69.5,69.5,68.5,0.4,0,0,0.4,6.6,5.4,16.2,18.8,80.3,72.6,99.4,64.3,41.6,97.1,88.6,25.5,3086,NA,22.5,90.2,43.7,7.1,97.3,36.8,51.1,29.7,55.7,100,66.1,86.9,87.4,63.6,89.6,100,0,6.6,NA,NA,NA,0.5,87.6,26.5,NA,NA,4.1,NA,3.1,28.1,15,4.3,29.8,22.7,18.8,21,12.4,73,71.9,NA,71.8,28.3,7.7,2.8,10.1,5,4.1,0.8,1,10.3,0,2.7,37.2,5.9,9.3,AP
Srikakulam , Total,784,815,104,58.4,22.2,1028,933,89.3,97.3,75.7,33.2,38,80,82.2,59.6,79.7,34.7,22.8,NA,11.7,67.7,67.5,66.1,0.7,0.2,0,0.3,6.7,5,15.7,17.8,82.2,72.7,99.4,65.7,42.1,96.9,89.5,23.9,2938,NA,23.3,91.2,42.3,6.4,97.6,41.4,55.5,33.7,59.2,100,68.4,88.5,88.9,66.1,89.7,100,0,5.9,NA,NA,NA,0.4,88.1,27.5,NA,NA,4.9,NA,3.8,28,15.6,3.9,28.7,20.5,15.2,24.4,18.9,70.6,72.1,NA,71.8,29.3,8.3,3.5,12.4,5,4.9,1.1,0.9,11,0.9,2.2,37.4,6.9,9.1,AP
Vizianagaram , Rural,635,689,75,51.6,23.8,1069,917,86.2,97.5,92.5,18.6,34.8,63.3,85.4,49.3,63.6,28.4,30.2,NA,19.4,70.8,70.8,69.2,1.6,0,0,0,3.4,1.8,24.4,48.5,79.4,67.9,92,49.7,37.2,91.5,80.7,31.9,1854,NA,32,89,54.3,5.8,94.4,28.6,51.2,19.9,50.6,100,59.6,94.3,91,59.6,74.9,97.5,2.5,7.5,NA,NA,NA,0.9,NA,40,NA,NA,6.7,NA,8.7,42,19.4,5.7,37.8,29.7,25.5,16,28,80.9,77.5,NA,77.1,45.4,6.1,2.8,8.7,7.9,5.5,1.8,0.5,15.9,3.5,0,31.6,3.7,10.7,AP
Vizianagaram , Total,799,850,98,56.4,23.7,1066,864,88,98.1,89.5,31.9,48.1,69.1,79.9,54.3,73.4,32.9,29,NA,17.8,71.6,71.6,70,1.4,0.2,0,0,3.3,1.9,24,46.1,79.8,70.4,93.7,55,42.5,91.1,77.3,26.6,2015,NA,29.2,90.7,50.7,5.1,95.4,34.9,58.3,22.8,49.3,100,60.3,88.1,92.6,56.7,78.5,94.3,5.7,7.2,NA,NA,NA,1.2,84.3,40.2,62.3,NA,7.2,NA,10.5,36.8,18.8,4.7,34.4,25.8,19.4,22.4,32.1,78.7,75.7,NA,75.5,44.3,7.4,4.1,12,9.8,6.4,1.7,0.4,15.9,2.7,0,38,3.8,13.7,AP
Visakhapatnam , Urban,373,396,57,74.7,21,1041,1231,93,99.4,88.6,86,93.3,97.9,51.1,77.3,90.7,54,25.3,NA,8.8,74.3,73.9,70,2.8,0.5,0.7,0,4.9,2.7,16.1,17.2,79,88.7,96.4,47.9,41.8,92.9,80.7,14.9,NA,NA,48.6,97.7,39,0,97.7,49.2,63.3,30.9,NA,NA,NA,NA,NA,NA,81,NA,NA,4.4,NA,NA,NA,0,NA,46.4,NA,NA,NA,NA,NA,20.3,20.4,1.8,25.1,10.6,10.4,41.6,40.2,57.4,63.4,NA,63,17.9,9,5.9,3.5,3.5,8.1,2.2,1.3,8.8,2.3,1.1,15.6,3.1,11.5,AP
Visakhapatnam , Rural,395,376,50,48.6,25.5,1053,1013,78.5,97.7,80.2,26.1,20.9,83.2,87.8,49.4,73.3,24.1,35.5,NA,10.5,63.8,63.8,62,1.8,0,0,0,6.3,3.8,14.9,41.9,78.3,78.4,96,61.9,46.8,94.6,69.5,28.9,1723,NA,36,77.4,51.5,3.1,73,26.8,56.3,23.7,NA,NA,NA,NA,NA,NA,50,NA,NA,11.9,NA,NA,NA,0,NA,66.3,NA,NA,NA,NA,6.4,36.8,15,1.3,38.7,27.6,14.2,15.3,14.8,68.5,69.9,NA,69.9,41.4,4,3.1,12.3,2,6,1.1,1.6,9.2,2.5,2.6,17.7,2,6.9,AP
Visakhapatnam , Total,768,772,107,61.3,23.3,1047,1097,84.5,98.5,84.3,55.2,56.1,90.4,70,64,82.8,39.7,29.8,NA,9.5,69.2,69,66.1,2.3,0.3,0.4,0,5.5,3.2,15.5,28.6,78.6,82.5,96.2,56.3,44.8,94,74,22.5,2143,NA,41.1,85.5,46.5,1.9,82.8,35.7,60.5,26.1,66,100,76,93.3,89.3,76.5,63.1,92.3,7.7,8.8,NA,NA,NA,0,NA,58.8,NA,NA,6.1,NA,10.2,30.1,17.2,1.5,33.1,18.9,12.1,28.8,29,64.5,66.6,NA,66.4,28.2,6.6,4.6,7.4,2.9,7.1,1.7,1.4,9,2.4,1.7,16.6,2.6,9.3,AP
East Godavari , Rural,595,608,90,64.1,22.6,921,968,83.7,98.8,82.1,50.1,37.3,77.1,75.9,66.8,78.1,28.2,37.2,NA,10.6,73.5,73.5,73,0.5,0,0,0,2.1,1,22,31,83.8,74.9,95.6,58,43.6,93.6,79.9,9.6,1783,NA,53.8,96.7,42.3,2.2,91.9,41.1,58.5,21.9,58.2,96,70.1,75.5,81.7,59.5,79,84,16,11.9,NA,NA,NA,1.3,NA,38.7,NA,NA,5.2,NA,4.2,29.7,16.9,3.8,28.2,18.2,15.2,32.2,24.7,65.7,69.9,NA,69.1,47.6,4.6,3.1,10.4,7.9,9,2.7,0.6,12.7,10.2,1.1,36.4,5.5,14.3,AP
East Godavari , Total,803,802,125,69,21.8,927,1008,84.3,99.1,82.1,56.8,50.3,82.3,70.9,71.7,83.3,35.5,30.3,NA,12.8,72.2,72.2,70.1,1.5,0,0.2,0.3,3.4,1.5,20.6,30,85.5,77.2,94.6,56.6,44.1,90.8,83,8.8,1843,NA,53.7,96.9,41.6,2.2,91.7,44.6,63.9,22.2,60.3,96.7,70.3,77.2,82.4,59.1,80.4,79.6,20.4,12.3,52.3,13.2,81.4,1,NA,42.9,NA,NA,6.3,NA,6.7,27.7,15.3,3,27.1,15.9,12.8,36.4,28,63.1,64.9,56.2,64.6,34.3,7.1,4.8,12.9,9.4,9,2.7,0.6,11.4,8,2.9,40.1,5,19.7,AP
West Godavari , Rural,627,593,76,68.7,23.8,1019,755,88.1,98.6,73.4,55.6,54.2,83,80.7,68,63.1,34.7,33.3,NA,8.2,76.5,76.5,75.8,0,0.5,0.2,0,3.7,2,10.5,21.5,84.4,70.6,88.6,41.7,28.3,92.1,86.2,20.7,3296,NA,17.5,96.9,25.5,1.3,92.5,60.1,71.5,35.8,84.7,96.2,84.7,96.2,92.5,73.2,72.2,92.3,7.7,5.8,NA,NA,NA,0,NA,30.6,NA,NA,3.9,NA,2.8,26.8,14.3,3.6,29.1,16.3,16.6,36.9,39.5,55.5,62.1,NA,61.5,18.6,6.1,4.2,6.7,4.1,7.5,2.2,0.9,15.9,2.8,0,35.9,6.1,15.6,AP
